level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2050	3057	-1	
2	1	1	0	0	0	23	1890	24	791	-1	
3	1	1	1	0	0	23	1890	24	791	-1	
4	1	1	1	1	0	23	1890	24	791	-1	
5	1	1	1	1	1	23	2576	24	105	96.801720	Copyright
5	1	1	1	1	2	23	2549	19	19	96.801720	©
5	1	1	1	1	3	23	2482	19	60	96.818253	2014.
5	1	1	1	1	4	23	2421	19	52	96.489044	John
5	1	1	1	1	5	23	2352	24	59	93.275948	Wiley
5	1	1	1	1	6	24	2329	18	14	93.154915	&
5	1	1	1	1	7	23	2259	22	60	96.538490	Sons,
5	1	1	1	1	8	23	2104	24	143	96.378868	Incorporated.
5	1	1	1	1	9	23	2069	19	25	96.653847	All
5	1	1	1	1	10	23	2001	24	58	96.642471	rights
5	1	1	1	1	11	23	1890	19	101	96.678185	reserved.
2	1	2	0	0	0	42	2921	1586	53	-1	
3	1	2	1	0	0	42	2921	1586	53	-1	
4	1	2	1	1	0	42	2921	1586	24	-1	
5	1	2	1	1	1	42	2922	75	22	96.140709	Jarrett,
5	1	2	1	1	2	128	2921	58	20	96.871811	Gene
5	1	2	1	1	3	195	2922	89	19	96.697266	Andrew.
5	1	2	1	1	4	293	2922	42	19	96.934189	The
5	1	2	1	1	5	344	2922	60	23	96.045776	Wiley
5	1	2	1	1	6	413	2922	101	19	96.574860	Blackwell
5	1	2	1	1	7	523	2922	110	23	96.407913	Anthology
5	1	2	1	1	8	641	2922	20	19	97.019409	of
5	1	2	1	1	9	669	2922	76	19	96.723267	African
5	1	2	1	1	10	754	2922	103	19	96.217316	American
5	1	2	1	1	11	868	2922	108	22	96.595825	Literature,
5	1	2	1	1	12	986	2922	83	19	96.313156	Volume
5	1	2	1	1	13	1080	2922	6	18	90.784691	1
5	1	2	1	1	14	1101	2927	2	13	90.784691	:
5	1	2	1	1	15	1115	2922	51	19	92.586563	1746
5	1	2	1	1	16	1176	2932	6	2	92.586563	-
5	1	2	1	1	17	1192	2922	58	22	96.793671	1920,
5	1	2	1	1	18	1259	2922	53	19	96.591141	John
5	1	2	1	1	19	1321	2922	60	23	93.218307	Wiley
5	1	2	1	1	20	1390	2922	14	19	93.218307	&
5	1	2	1	1	21	1413	2921	61	23	96.777542	Sons,
5	1	2	1	1	22	1485	2922	143	23	96.834702	Incorporated,
4	1	2	1	2	0	105	2950	1144	24	-1	
5	1	2	1	2	1	105	2951	60	19	95.977211	2014.
5	1	2	1	2	2	176	2950	103	20	95.977211	ProQuest
5	1	2	1	2	3	289	2951	68	19	96.151825	Ebook
5	1	2	1	2	4	365	2950	85	23	93.262299	Central,
5	1	2	1	2	5	460	2950	789	24	39.918678	http://ebookcentral.proquest.com/lib/cwm/detail.action?docID=7103859.
2	1	3	0	0	0	112	108	52	269	-1	
3	1	3	1	0	0	112	108	52	269	-1	
4	1	3	1	1	0	112	108	52	269	-1	
5	1	3	1	1	1	116	201	35	176	92.362541	Contents
5	1	3	1	1	2	112	108	52	42	72.292648	5S.
2	1	4	0	0	0	344	150	1055	178	-1	
3	1	4	1	0	0	344	150	1055	178	-1	
4	1	4	1	1	0	344	150	1055	55	-1	
5	1	4	1	1	1	344	151	103	44	79.900780	Part
5	1	4	1	1	2	466	151	28	45	58.313786	3
5	1	4	1	1	3	557	150	89	45	88.957344	The
5	1	4	1	1	4	672	151	267	44	96.492325	Literatures
5	1	4	1	1	5	959	151	46	44	96.338707	of
5	1	4	1	1	6	1029	151	370	54	96.481918	Reconstruction,
4	1	4	1	2	0	562	216	827	55	-1	
5	1	4	1	2	1	562	217	144	44	96.541023	Racial
5	1	4	1	2	2	734	217	147	54	96.102173	Uplift,
5	1	4	1	2	3	899	217	83	44	95.296341	and
5	1	4	1	2	4	1003	216	74	45	96.170998	the
5	1	4	1	2	5	1103	217	103	44	96.390923	New
5	1	4	1	2	6	1231	217	158	52	96.311676	Negro:
4	1	4	1	3	0	559	283	325	45	-1	
5	1	4	1	3	1	559	283	325	45	88.132477	c.1865-1920
2	1	5	0	0	0	341	376	228	32	-1	
3	1	5	1	0	0	341	376	228	32	-1	
4	1	5	1	1	0	341	376	228	32	-1	
5	1	5	1	1	1	341	376	228	32	96.395729	Introduction
2	1	6	0	0	0	342	495	592	39	-1	
3	1	6	1	0	0	342	495	592	39	-1	
4	1	6	1	1	0	342	495	592	39	-1	
5	1	6	1	1	1	342	496	115	38	95.895485	Frank
5	1	6	1	1	2	473	496	36	38	96.712814	J.
5	1	6	1	1	3	522	496	115	38	96.114342	Webb
5	1	6	1	1	4	657	495	277	39	93.359680	(1828-1894)
2	1	7	0	0	0	415	584	506	38	-1	
3	1	7	1	0	0	415	584	506	38	-1	
4	1	7	1	1	0	415	584	506	38	-1	
5	1	7	1	1	1	415	586	68	29	96.618011	Two
5	1	7	1	1	2	497	584	109	31	96.535728	Wolves
5	1	7	1	1	3	618	584	61	31	96.496819	and
5	1	7	1	1	4	690	594	19	21	96.691849	a
5	1	7	1	1	5	719	584	91	31	95.987747	Lamb
5	1	7	1	1	6	823	586	98	36	96.599487	(1870)
2	1	8	0	0	0	412	666	337	41	-1	
3	1	8	1	0	0	412	666	337	41	-1	
4	1	8	1	1	0	412	666	337	41	-1	
5	1	8	1	1	1	412	669	122	28	96.926003	Marvin
5	1	8	1	1	2	545	666	95	41	95.891289	Hayle
5	1	8	1	1	3	652	668	97	36	96.474335	(1870)
2	1	9	0	0	0	343	783	849	47	-1	
3	1	9	1	0	0	343	783	849	47	-1	
4	1	9	1	1	0	343	783	849	47	-1	
5	1	9	1	1	1	343	784	153	38	96.563454	Pauline
5	1	9	1	1	2	519	784	190	38	96.488159	Elizabeth
5	1	9	1	1	3	733	784	162	46	96.509155	Hopkins
5	1	9	1	1	4	914	783	278	39	93.624207	(1859-1930)
2	1	10	0	0	0	412	872	1017	92	-1	
3	1	10	1	0	0	412	872	1017	92	-1	
4	1	10	1	1	0	412	872	1017	41	-1	
5	1	10	1	1	1	412	872	133	31	96.920418	Peculiar
5	1	10	1	1	2	555	874	78	35	96.926300	Sam,
5	1	10	1	1	3	648	883	34	20	95.012291	or
5	1	10	1	1	4	692	872	47	31	95.012291	the
5	1	10	1	1	5	753	872	212	41	96.849655	Underground
5	1	10	1	1	6	975	872	153	31	96.742691	Railroad:
5	1	10	1	1	7	1139	874	25	28	96.916023	A
5	1	10	1	1	8	1175	872	130	31	96.509575	Musical
5	1	10	1	1	9	1315	875	114	28	96.392921	Drama
4	1	10	1	2	0	459	928	306	36	-1	
5	1	10	1	2	1	459	929	32	28	95.832245	in
5	1	10	1	2	2	501	929	77	28	95.592621	Four
5	1	10	1	2	3	585	928	69	29	96.949570	Acts
5	1	10	1	2	4	667	928	98	36	95.653809	(1879)
2	1	11	0	0	0	340	1043	830	127	-1	
3	1	11	1	0	0	340	1043	830	127	-1	
4	1	11	1	1	0	340	1043	830	39	-1	
5	1	11	1	1	1	340	1044	153	38	95.854973	Charles
5	1	11	1	1	2	506	1044	166	38	96.044113	Waddell
5	1	11	1	1	3	694	1044	179	38	96.379349	Chesnutt
5	1	11	1	1	4	892	1043	278	39	95.493942	(1858-1932)
4	1	11	1	2	0	415	1132	487	38	-1	
5	1	11	1	2	1	415	1132	93	31	95.849556	What
5	1	11	1	2	2	518	1135	26	28	95.849556	Is
5	1	11	1	2	3	556	1142	18	21	96.833046	a
5	1	11	1	2	4	587	1132	100	31	95.871887	White
5	1	11	1	2	5	697	1135	92	28	87.635643	Man?
5	1	11	1	2	6	802	1134	100	36	87.335884	(1889)
2	1	12	0	0	0	415	1214	523	42	-1	
3	1	12	1	0	0	415	1214	523	42	-1	
4	1	12	1	1	0	415	1214	523	42	-1	
5	1	12	1	1	1	415	1214	60	31	96.931000	The
5	1	12	1	1	2	485	1217	135	28	96.436821	Marrow
5	1	12	1	1	3	630	1214	37	42	96.867836	of
5	1	12	1	1	4	679	1214	153	31	96.456558	Tradition
5	1	12	1	1	5	844	1216	94	36	96.477829	(1901)
2	1	13	0	0	0	342	1331	923	47	-1	
3	1	13	1	0	0	342	1331	923	47	-1	
4	1	13	1	1	0	342	1331	923	47	-1	
5	1	13	1	1	1	342	1332	157	38	96.518410	Frances
5	1	13	1	1	2	521	1332	102	38	96.034424	Ellen
