line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	120	64	-1.0	
0	0	120	64	-1.0	
1	0	120	64	-1.0	
1	1	120	68	81.539902	x
1	2	143	64	66.689453	/
1	3	163	64	26.953712	ConTEents
2	0	138	112	-1.0	
2	1	138	112	82.442383	The
2	2	177	112	95.844246	Rest
2	3	258	114	95.016029	1481
3	0	140	134	-1.0	
3	1	140	134	93.093605	In
3	2	162	140	93.093605	a
3	3	177	134	95.633835	Station
3	4	240	134	96.059723	of
3	5	262	134	96.74189	the
3	6	294	134	94.306999	Metro
3	7	389	135	95.952713	1482
4	0	138	156	-1.0	
4	1	138	156	77.141342	The
4	2	177	156	73.609169	River-Merchant’s
4	3	322	156	94.5438	Wife:
4	4	370	157	94.5438	A
4	5	388	156	95.671936	Letter
4	6	482	157	96.643501	1482
5	0	139	178	-1.0	
5	1	139	178	86.415474	Villanelle:
5	2	226	178	96.365936	The
5	3	264	178	96.670013	Psychological
5	4	380	178	95.914673	Hour
5	5	468	180	95.243431	1483
6	0	140	200	-1.0	
6	1	140	200	95.655807	Hugh
6	2	191	200	65.104965	Selwyn
6	3	256	200	90.678772	Mauberley
6	4	348	200	96.12767	(Life
6	5	391	200	84.253571	and
6	6	426	200	66.831985	Contacts)
6	7	552	202	64.922012	1484
7	0	138	222	-1.0	
7	1	138	222	85.256874	The
7	2	176	222	96.621048	Cantos
7	3	280	223	96.488655	1492
8	0	159	244	-1.0	
8	1	159	244	52.827545	1
8	2	171	244	11.488846	(And
8	3	223	244	94.424934	then
8	4	265	248	96.812088	went
8	5	310	244	96.762672	down
8	6	360	248	96.193359	to
8	7	381	244	96.193359	the
8	8	412	244	91.780052	"ship"")"
8	9	505	245	96.644348	1492
9	0	158	266	-1.0	
9	1	158	266	64.224091	XVII
9	2	202	266	64.224091	"(""So"
9	3	242	266	96.584839	that
9	4	280	266	93.599304	the
9	5	311	268	96.760292	vines
9	6	358	266	96.593445	burst
9	7	405	266	92.158005	from
9	8	449	272	92.158005	my
9	9	478	266	57.180637	"fingers"")"
9	10	592	268	57.180637	1494
10	0	158	288	-1.0	
10	1	158	288	94.366104	XLV
10	2	198	288	87.316124	"(""With"
10	3	258	288	30.260803	Usune”)
10	4	364	289	95.592606	1497
11	0	334	338	-1.0	
11	1	334	338	91.150948	MODERNIST
11	2	438	338	19.818542	MANIFESTOS:
11	3	717	338	93.79335	1499
12	0	140	380	-1.0	
12	1	140	380	57.32962	F.T.
12	2	181	380	64.541809	MARINETTE:
12	3	299	380	95.66954	From
12	4	348	380	96.453743	Manifesto
12	5	434	380	96.81414	of
12	6	457	380	75.51561	Futurism
12	7	717	381	92.406792	1500
13	0	140	424	-1.0	
13	1	140	424	96.177643	MINA
13	2	198	424	96.067368	LOY:
13	3	246	424	96.413971	Feminist
13	4	322	424	59.045681	Manifesto:
13	5	717	425	96.158974	1502
14	0	140	468	-1.0	
