line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	180	102	-1.0	
0	0	180	102	-1.0	
1	0	180	102	-1.0	
1	1	180	107	93.117386	x
1	2	217	102	93.117386	Contents
2	0	542	153	-1.0	
2	1	542	154	76.325722	W.
2	2	586	154	76.325722	E.
2	3	622	154	91.464752	B.
2	4	657	154	96.263954	Du
2	5	702	153	53.831902	Bois
3	0	360	183	-1.0	
3	1	360	188	96.92041	Chapter
3	2	473	187	83.460907	Ili:
3	3	536	187	95.67804	“Of
3	4	597	186	96.805496	Mr.
3	5	656	186	93.187119	Booker
3	6	754	185	82.961136	T.
3	7	796	185	93.482773	Washington
3	8	951	184	96.187134	and
3	9	1009	183	95.081276	Others”
4	0	390	216	-1.0	
4	1	390	221	96.164207	from
4	2	459	221	96.156319	The
4	3	516	220	96.270126	Souls
4	4	588	219	96.270126	of
4	5	626	218	96.239471	Black
4	6	704	218	70.802856	Folk:
4	7	1127	216	59.314377	6
5	0	192	322	-1.0	
5	1	192	330	59.355972	V_
5	2	245	330	72.712967	Early
5	3	314	329	96.690224	Poetry,
5	4	403	329	96.892792	Fiction,
5	5	498	329	96.952614	and
5	6	550	327	89.005867	Criticism
5	7	1118	322	95.056641	107
6	0	361	390	-1.0	
6	1	361	391	62.527676	Reference?
6	2	1119	390	95.158134	110
7	0	546	443	-1.0	
7	1	546	445	90.677414	Paul
7	2	610	444	96.00853	Laurence
7	3	728	443	96.597107	Dunbar
8	0	365	473	-1.0	
8	1	365	473	79.299713	“Philosophy”
8	2	1120	475	46.393463	il
9	0	366	506	-1.0	
9	1	366	506	89.088623	“Jealous”
9	2	1120	507	50.947479	lil
10	0	365	539	-1.0	
10	1	365	543	80.845657	*Slow
10	2	446	543	96.006004	through
10	3	551	544	96.195129	the
10	4	601	543	94.243797	Dark”
10	5	1120	539	94.028366	112
11	0	366	572	-1.0	
11	1	366	577	96.809418	“Not
11	2	435	577	96.083618	They
11	3	507	576	96.918861	Who
11	4	570	575	95.443871	Soar”
11	5	1121	572	95.735153	112
12	0	367	605	-1.0	
12	1	367	610	92.994164	“When
12	2	462	608	92.194366	Malindy
12	3	571	608	96.858292	Sings”
12	4	1122	605	94.625931	113
13	0	367	637	-1.0	
13	1	367	637	85.896683	“Scamp”
13	2	1122	638	87.873329	115
14	0	368	671	-1.0	
14	1	368	675	96.397102	“Why
14	2	452	675	95.641708	Fades
14	3	541	681	48.192261	8
14	4	560	674	90.639336	Dream?’
14	5	1122	671	95.774757	116
15	0	368	704	-1.0	
15	1	368	708	96.58287	“We
15	2	432	708	96.456818	Wear
15	3	508	707	96.024841	the
15	4	557	707	95.947556	Mask”
15	5	1123	704	94.191971	116
16	0	367	737	-1.0	
16	1	367	741	71.565155	“The
16	2	440	740	31.313095	Real
16	3	502	740	92.960114	Question”
16	4	1124	737	54.662666	17
17	0	549	789	-1.0	
17	1	549	789	87.055466	Charles
17	2	650	790	80.303185	W.
17	3	697	789	94.100693	Chesnutt
18	0	369	820	-1.0	
18	1	369	824	95.988632	“The
18	2	441	824	94.740952	Bouquet”
18	3	1124	820	67.498665	17
19	0	553	873	-1.0	
19	1	553	874	95.740417	Fenton
19	2	647	873	84.728714	Johnson
20	0	371	902	-1.0	
20	1	371	902	82.94635	“Tired”
20	2	1125	903	96.163094	125
21	0	369	930	-1.0	
21	1	369	940	94.994644	“The
21	2	440	939	88.723434	Scarlet
21	3	533	939	95.940804	Woman”
21	4	1125	930	95.546783	126
21	5	1225	930	35.248932	|
22	0	552	987	-1.0	
22	1	552	989	86.476463	W.
22	2	596	989	86.476463	E.
22	3	631	989	91.184387	B.
22	4	666	989	96.429893	Du
22	5	714	989	96.429893	Bois
22	6	1225	980	0.0	)
23	0	372	1019	-1.0	
23	1	372	1023	96.761711	“The
23	2	444	1022	94.781441	Riddle
23	3	532	1022	96.742165	of
23	4	567	1023	96.494316	the
23	5	614	1021	95.023323	Sphinx”
23	6	1127	1019	96.538101	126
24	0	554	1072	-1.0	
24	1	554	1072	95.374512	Benjamin
24	2	681	1072	95.374512	Brawley
25	0	373	1103	-1.0	
25	1	373	1106	96.564087	“The
25	2	445	1106	96.923882	Negro
25	3	528	1106	94.421684	in
25	4	562	1106	96.06942	American
25	5	685	1104	93.151657	Fiction”
25	6	792	1104	95.776009	from
25	7	861	1103	93.225784	The
25	8	915	1103	91.818909	Negroin
25	9	1030	1103	83.43132	Litera-
26	0	399	1135	-1.0	
26	1	399	1143	82.248764	sure
26	2	455	1138	86.6101	axd
26	3	510	1139	95.379555	Art
26	4	1128	1135	44.006142	12m
27	0	554	1187	-1.0	
27	1	554	1188	95.964729	James
27	2	640	1188	96.032692	Weldon
27	3	743	1187	94.694672	Johnson
28	0	374	1218	-1.0	
