line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	176	99	-1.0	
0	0	176	99	-1.0	
1	0	176	99	-1.0	
1	1	176	100	59.681923	xiv
1	2	231	99	86.607422	Contents
2	0	359	147	-1.0	
2	1	359	150	46.436459	"""Garvey's"
2	2	488	149	63.498592	Ghost”
2	3	584	149	96.802429	from
2	4	651	149	96.054352	Black
2	5	730	149	96.206207	Boogaloo
2	6	849	147	93.711502	(Notes
3	0	386	180	-1.0	
3	1	386	190	95.563087	on
3	2	426	182	92.816628	Black
3	3	502	182	58.366196	Liberatron)
3	4	1113	180	55.125843	00
4	0	542	234	-1.0	
4	1	542	234	71.393524	Maleolm
4	2	657	234	92.008652	X
5	0	360	264	-1.0	
5	1	360	268	96.033318	Chapter
5	2	481	268	89.648987	Nineteen:
5	3	623	267	82.59024	"“1965"""
5	4	728	267	95.507378	from
5	5	809	266	96.167976	The
5	6	877	264	95.767303	Autobiography
5	7	1077	264	96.00531	of
6	0	389	299	-1.0	
6	1	389	300	85.007965	Malcolm
6	2	500	300	89.060654	X
6	3	1114	299	96.799683	401
7	0	541	350	-1.0	
7	1	541	351	93.957962	Julian
7	2	628	350	95.224976	Mayfield
8	0	362	382	-1.0	
8	1	362	385	82.203545	“Into
8	2	434	385	95.965279	the
8	3	480	384	96.845993	Mainstream
8	4	632	384	95.730431	and
8	5	680	383	32.429459	"Oblivion"""
8	6	802	383	96.623108	from
8	7	868	382	96.041771	The
8	8	921	382	93.764633	American
9	0	389	415	-1.0	
9	1	389	417	96.894318	Negro
9	2	473	417	96.828629	Writer
9	3	559	416	96.46109	and
9	4	612	416	95.643555	His
9	5	662	416	96.75618	Roots
9	6	1116	415	58.296234	as
10	0	544	468	-1.0	
10	1	544	468	93.276596	Don
10	2	608	468	84.946838	L.
10	3	646	468	84.455444	Lee
11	0	362	498	-1.0	
11	1	362	501	96.263344	“Back
11	2	447	502	95.205956	Again
11	3	526	501	92.184753	Home”
11	4	619	501	95.358078	from
11	5	687	500	96.359093	Think
11	6	767	500	96.926552	Black
11	7	1118	498	93.999748	419
12	0	363	531	-1.0	
12	1	363	535	93.730919	“Introduction”
12	2	554	534	95.907501	from
12	3	624	534	96.20105	Think
12	4	707	533	96.65992	Black
12	5	1118	531	96.231598	420
13	0	364	565	-1.0	
13	1	364	570	95.496475	“A
13	2	409	569	95.117462	Poem
13	3	485	568	95.117462	for
13	4	531	567	96.240768	Black
13	5	609	567	96.019249	Minds”
13	6	708	567	96.646088	from
13	7	774	566	96.751579	Black
13	8	852	566	96.741562	Pride
13	9	1118	565	79.844429	#21
14	0	366	597	-1.0	
14	1	366	602	11.377899	“Assasxination”
14	2	562	600	82.266075	fram
14	3	629	600	92.739357	Don't
14	4	707	597	69.203323	Cry,
14	5	770	599	95.191208	Scream
14	6	1121	597	95.774315	422
15	0	547	651	-1.0	
15	1	547	651	87.821701	Etheridge
15	2	676	651	80.134201	Knight
16	0	365	683	-1.0	
16	1	365	685	95.802361	“Hard
16	2	458	685	96.173508	Rock
16	3	536	684	80.689056	Returns
16	4	647	688	96.69178	to
16	5	687	684	96.831802	Prison
16	6	779	683	95.960976	from
16	7	851	684	95.964401	the
16	8	905	683	92.870026	Hospital
16	9	1022	683	96.311676	for
16	10	1071	683	96.983513	the
17	0	393	713	-1.0	
17	1	393	717	96.010506	Criminal
17	2	510	717	92.461891	"Insane"""
17	3	610	717	95.901321	from
17	4	675	717	85.793098	Poems
17	5	761	717	96.523277	from
17	6	829	716	96.845238	Prison
17	7	1119	713	96.97094	422
18	0	366	746	-1.0	
18	1	366	752	96.294373	“The
18	2	438	752	96.294373	Violent
18	3	533	750	93.774292	Space”
18	4	627	750	96.677475	from
18	5	694	750	88.6521	Poems
18	6	780	750	93.219955	from
18	7	848	749	3.612701	Privon
18	8	1119	746	96.416946	423
19	0	368	779	-1.0	
19	1	368	785	61.19368	"""Tt"
19	2	411	785	94.3274	Was
19	3	471	791	94.3274	a
19	4	495	784	95.5448	Funky
19	5	583	783	89.257187	Deal”
19	6	659	783	96.548279	from
19	7	723	782	61.081451	Poems
19	8	807	783	96.806305	from
19	9	873	782	96.858231	Prison
19	10	1119	779	96.54071	425
20	0	184	881	-1.0	
20	1	184	888	89.65062	Biographies
20	2	1121	881	64.193123	426
