line_num	word_num	left	top	text	conf
0	0	0	0		-1.0
0	0	168	291		-1.0
0	0	168	291		-1.0
1	0	588	291		-1.0
1	1	588	291	ConTENTS	41.427589
2	0	213	477		-1.0
2	1	213	477	PREFACE	72.233887
2	2	355	473	=	33.908951
2	3	383	481	xxxiii	64.05703
3	0	168	550		-1.0
3	1	168	550	1@	44.270363
3	2	251	555	“Go	93.776581
3	3	335	556	Down,	96.193237
3	4	463	556	Moses,	96.497063
3	5	595	558	Way	96.856346
3	6	682	558	Down	0.0
3	7	801	557	in	0.0
3	8	849	557	Egypt’sLand”	74.382698
3	9	1167	571	|	0.0
4	0	286	603		-1.0
4	1	286	603	African	95.766998
4	2	394	604	American	95.874741
4	3	535	606	History	96.143326
4	4	645	606	and	96.86644
4	5	706	605	Culture,	96.34668
4	6	831	606	1619-1808	89.201088
5	0	293	646		-1.0
5	1	293	646	The	96.275085
5	2	342	647	Description	79.623947
5	3	499	650	of	95.728096
5	4	522	653	the	95.728096
5	5	585	648	Conditions	95.923813
5	6	708	650	of	95.923813
5	7	741	648	Slavery	95.371506
5	8	834	648	and	95.371506
5	9	890	652	Oppression	96.165154
6	0	288	687		-1.0
6	1	288	687	Racial	96.274323
6	2	370	689	and	96.494781
6	3	423	688	Religious	96.40184
6	4	544	688	Oppression	94.123581
7	0	252	755		-1.0
7	1	252	755	CALL	95.657486
7	2	339	761	FOR	96.33271
7	3	404	755	DELIVERANCE:	96.045914
7	4	626	756	THE	95.087181
7	5	697	756	ORAL	49.708443
7	6	787	757	TRADITION	49.708443
7	7	1022	765	—-33	16.789719
8	0	255	801		-1.0
8	1	255	802	Origins:	96.43679
8	2	380	801	African	93.305893
8	3	499	803	Survivals	93.130608
8	4	645	804	in	96.028503
8	5	681	803	Slave	96.028503
8	6	769	804	Folk	96.947975
8	7	841	804	Culture	96.943024
9	0	216	881		-1.0
9	1	216	881	Proverss	88.289703
9	2	404	886	28	79.896439
10	0	250	925		-1.0
10	1	250	925	AFRICAN	93.168404
10	2	363	925	PRororyPes	44.029152
10	3	571	926	28	25.117966
11	0	251	963		-1.0
11	1	251	963	SLAVE	92.621292
11	2	331	963	PROVERBS	22.368561
11	3	480	957	=-	22.368561
11	4	509	965	28	43.1455
12	0	251	1002		-1.0
12	1	251	1002	SLAVE	96.662857
12	2	331	1003	PROVERBS	96.358582
12	3	458	1008	AND	96.934471
12	4	516	1004	THEIR	91.986237
12	5	595	1005	AFRICAN	95.285088
12	6	707	1004	PARALLELS	59.925934
12	7	863	997	=.	44.953407
12	8	890	1006	29	50.862793
13	0	216	1049		-1.0
13	1	216	1049	THEFOLKCRY	68.789375
13	2	455	1055	29	79.598488
14	0	216	1100		-1.0
14	1	216	1100	TuesHour	47.022934
14	2	419	1106	31	62.189373
15	0	363	1146		-1.0
15	1	363	1146	'Ligion	52.559006
15	2	446	1147	So	96.654938
15	3	480	1147	Sweet	96.8284
15	4	602	1148	31	75.018135
16	0	216	1193		-1.0
16	1	216	1193	WORK	79.042717
16	2	309	1200	SONGS	79.042717
16	3	395	1200	AND	96.027489
16	4	454	1201	OTHER	52.921947
16	5	544	1201	SECULAR	52.921947
16	6	659	1202	MUSIC	61.385223
16	7	761	1189	—-	31.183456
16	8	794	1200	32	35.186607
17	0	252	1236		-1.0
17	1	252	1237	AFRICAN	96.08252
17	2	365	1236	PROTOTYPE	77.076302
17	3	536	1232	=	26.646202
17	4	560	1239	32	73.889374
18	0	361	1278		-1.0
18	1	361	1279	An	95.100922
18	2	401	1278	African	93.021133
18	3	492	1278	Spinner’s	85.338943
18	4	604	1280	Song	96.881577
18	5	717	1280	32	96.723236
19	0	254	1317		-1.0
19	1	254	1317	EARLY	96.141739
19	2	335	1317	SLAVE	96.157021
19	3	415	1317	WORK	64.144623
19	4	497	1317	SONGS	57.067314
19	5	603	1309	—-	0.0
19	6	633	1319	33	58.768406
20	0	361	1358		-1.0
20	1	361	1359	An	58.478134
20	2	402	1358	Old	58.478134
20	3	451	1358	Boat	47.66761
20	4	510	1359	Song	47.66761
20	5	623	1360	33	53.414444
21	0	254	1397		-1.0
21	1	254	1397	ANTIPHONAL	92.973259
21	2	417	1397	PATTERNS	96.009361
21	3	543	1401	OF	96.546371
21	4	583	1398	WORK	96.813889
21	5	663	1398	SONGS	96.132713
21	6	800	1398	33	96.815041
22	0	219	1443		-1.0
22	1	219	1443	SPIRITUALS	76.294243
22	2	390	1439	=	20.02877
22	3	420	1449	35	10.618912
23	0	290	1485		-1.0
23	1	290	1485	African	96.810875
23	2	390	1486	Prototypes	96.880547
23	3	527	1487	of	96.594269
23	4	557	1487	Lengthy	96.74369
23	5	662	1488	Epic	96.701813
23	6	721	1488	Narratives	88.488556
23	7	909	1490	35	62.281715
24	0	363	1528		-1.0
24	1	363	1532	FROM	93.264671
24	2	435	1528	“Sunjata”	36.289326
24	3	605	1529	36	95.603546
25	0	290	1566		-1.0
25	1	290	1566	Spirituals	92.939194
25	2	418	1573	as	96.831062
25	3	451	1566	Lengthy	96.753883
25	4	555	1567	Epic	96.366211
25	5	615	1568	Narratives	81.095444
25	6	801	1569	42	76.360641
26	0	365	1608		-1.0
26	1	365	1604	“Go	95.721954
26	2	422	1604	Down,	95.721954
26	3	497	1608	Moses”	83.079437
26	4	636	1610	42	95.410118
27	0	256	1646		-1.0
27	1	256	1646	PRAISEPOEMS	92.008125
27	2	482	1648	44	74.42836
28	0	291	1683		-1.0
28	1	291	1683	African	96.700241
28	2	390	1686	Prototypes	77.421356
28	3	579	1687	45	69.522018
