line_num	word_num	left	top	text	conf
0	0	0	0		-1.0
0	0	70	96		-1.0
0	0	74	96		-1.0
1	0	689	96		-1.0
1	1	689	96	Contents	69.555908
1	2	854	102	*	70.870453
1	3	907	106	xxv	92.090881
2	0	113	162		-1.0
2	1	113	168	1540	94.628616
2	2	189	163	As	85.187706
2	3	230	162	imperceptibly	85.187706
2	4	410	170	as	91.583321
2	5	442	162	Gricf	59.002609
2	6	534	158	==	27.350418
2	7	555	169	2473	50.399021
3	0	113	196		-1.0
3	1	113	203	1545	96.322784
3	2	187	196	The	88.15905
3	3	250	196	Bible	96.272469
3	4	324	198	is	95.378128
3	5	352	204	an	95.378128
3	6	391	198	antique	92.209641
3	7	497	197	Volume—	83.213814
3	8	667	203	2473	78.962379
4	0	113	231		-1.0
4	1	113	239	1575	93.32412
4	2	188	231	The	95.747917
4	3	251	232	Bat	96.234619
4	4	303	234	is	94.079056
4	5	329	233	dun,	94.079056
4	6	396	233	with	96.649261
4	7	462	233	wrinkled	92.04187
4	8	581	233	Wings—	92.149284
4	9	738	239	2474	72.972977
5	0	112	265		-1.0
5	1	112	267	1582	86.641876
5	2	186	266	The	95.999519
5	3	249	265	farthest	96.20591
5	4	354	267	Thunder	92.859215
5	5	476	267	that	95.998055
5	6	538	267	I	0.0
5	7	558	267	heard	0.0
5	8	672	274	2474	71.244751
6	0	112	301		-1.0
6	1	112	308	1593	96.354996
6	2	187	301	There	95.895149
6	3	272	308	came	95.895149
6	4	347	310	a	95.821716
6	5	370	302	Wind	96.362427
6	6	453	302	like	96.09816
6	7	507	311	a	92.996643
6	8	531	302	Buglke—	18.493225
6	9	651	297	=	38.54821
6	10	677	308	2475	52.327934
7	0	112	336		-1.0
7	1	112	336	1624	96.249229
7	2	187	336	Apparently	96.249229
7	3	336	336	with	96.627815
7	4	402	345	no	95.47361
7	5	444	338	surprise	82.256409
7	6	580	345	2475	73.381844
8	0	112	371		-1.0
8	1	112	372	165:	78.827354
8	2	188	372	A	96.026543
8	3	218	371	Word	95.907799
8	4	304	371	made	95.73748
8	5	381	372	Flesh	94.560181
8	6	458	374	is	94.560181
8	7	485	372	seldom	66.505798
8	8	594	367	=	37.947155
8	9	618	380	2475	42.178322
9	0	111	405		-1.0
9	1	111	405	1670	96.018478
9	2	188	405	In	95.107231
9	3	225	405	Winter	77.62207
9	4	327	406	in	77.62207
9	5	362	414	my	96.617516
9	6	410	405	Room	81.463875
9	7	503	401	=	21.542282
9	8	529	407	2476	21.542282
10	0	112	440		-1.0
10	1	112	449	1732	91.766663
10	2	188	441	My	96.285362
10	3	240	440	life	96.93605
10	4	289	441	closed	96.669228
10	5	376	442	twice	96.884041
10	6	450	441	before	96.956604
10	7	538	444	its	95.226997
10	8	574	442	close	27.241959
10	9	706	448	2477	66.470612
11	0	109	474		-1.0
11	1	109	474	Letters	96.493622
11	2	206	480	to	95.927353
11	3	240	474	Thomas	96.272491
11	4	353	475	Wentworth	96.862762
11	5	513	476	Higginson	86.158905
11	6	689	482	2477	28.067749
12	0	143	510		-1.0
12	1	143	518	15	94.201881
12	2	180	510	April	95.747643
12	3	256	510	1862	95.321823
12	4	326	510	[Say	96.567993
12	5	389	510	If	96.452652
12	6	419	511	My	96.650314
12	7	471	512	Verse	96.292847
12	8	553	512	Is	93.301498
12	9	584	513	Alive?]	86.154488
12	10	707	517	2477	66.313385
13	0	142	544		-1.0
13	1	142	552	25	94.934731
13	2	179	544	April	92.599548
13	3	255	546	1862	72.609383
13	4	324	545	(Thank	73.902817
13	5	427	545	You	96.824966
13	6	488	546	for	94.078453
13	7	533	546	the	94.078453
13	8	582	546	Surgery]	61.293339
13	9	727	547	2475	61.293339
14	0	140	580		-1.0
14	1	140	587	7	86.515892
14	2	165	580	June	93.394478
14	3	234	581	1862	61.139347
14	4	305	580	[Will	95.801392
14	5	382	581	You	96.0336
14	6	446	582	Be	96.882172
14	7	486	581	My	93.29023
14	8	539	581	Preceptor?]	78.963249
14	9	722	587	2479	60.416096
15	0	140	614		-1.0
15	1	140	615	July	95.24704
15	2	199	615	1862	94.920952
15	3	270	615	(My	83.770599
15	4	332	615	Business	96.705368
15	5	448	615	Is	94.830055
15	6	476	615	Circumference]	58.011047
15	7	712	614	2450	78.648163
16	0	109	650		-1.0
16	1	109	650	[Letters	70.769287
16	2	214	659	on	85.318634
16	3	253	650	“E.D.”	76.941933
16	4	353	650	from	69.307899
16	5	419	651	T.	69.029205
16	6	456	651	W.	87.89682
16	7	506	651	Higginson	95.231277
16	8	642	655	to	96.182907
16	9	675	653	His	96.681633
16	10	725	653	Wife]	85.932106
16	11	834	651	2481	71.732506
17	0	140	684		-1.0
17	1	140	684	[August	90.518669
17	2	248	685	16,	88.665504
17	3	296	684	1870]	79.738556
17	4	407	687	2.481	61.522522
18	0	140	719		-1.0
18	1	140	719	[August	86.908272
18	2	248	728	17,	86.908272
18	3	296	720	1870]	78.404526
18	4	407	721	2482	69.405136
19	0	76	790		-1.0
19	1	76	790	REBECCA	96.578766
19	2	233	790	HARDING	95.734749
19	3	395	791	DAVIS	94.606705
19	4	503	792	(1831-1910)	42.472321
19	5	890	792	2483	95.030533
20	0	106	823		-1.0
20	1	106	823	Life	94.158958
20	2	165	832	in	94.158958
20	3	200	824	the	91.298828
20	4	250	825	Iron-Mills	87.755447
20	5	416	825	2456	69.999222
21	0	74	929		-1.0
21	1	74	929	SELECTED	96.051865
21	2	250	930	BIBLIOGRAPHIES	95.998123
21	3	891	938	2519	94.937927
22	0	70	991		-1.0
22	1	70	991	INDEX	96.573441
22	2	892	1001	2531	85.409286
