line_num	word_num	left	top	text	conf
0	0	0	0		-1.0
0	0	108	96		-1.0
0	0	108	96		-1.0
1	0	710	96		-1.0
1	1	710	96	Contents	49.609016
1	2	875	103	*	49.609016
1	3	930	99	xxiii	47.848885
2	0	177	164		-1.0
2	1	177	164	Sketch	95.773422
2	2	274	165	First.	95.676071
2	3	348	164	The	96.852318
2	4	411	165	Isles	94.268387
2	5	473	169	at	94.268387
2	6	508	165	Large	69.362938
2	7	626	172	2230	30.319496
3	0	177	198		-1.0
3	1	177	198	Sketch	92.239365
3	2	272	199	Second.	94.620384
3	3	380	200	Two	94.620384
3	4	447	200	Sides	95.789085
3	5	522	204	to	68.836029
3	6	555	208	a	68.836029
3	7	578	200	‘Tortoise	73.404068
3	8	729	207	2234	77.781273
4	0	177	234		-1.0
4	1	177	234	Sketch	96.584312
4	2	270	234	Third.	94.594734
4	3	364	235	Rock	93.238091
4	4	438	235	Rodondo	89.975838
4	5	594	242	2237	38.855751
5	0	177	268		-1.0
5	1	177	268	Sketch	93.255402
5	2	274	269	Kighth,	40.955833
5	3	378	269	Norfolk	96.864731
5	4	488	269	Isle	92.761475
5	5	538	270	and	92.761475
5	6	596	270	the	96.381844
5	7	644	270	Chola	95.07164
5	8	731	270	Widow	91.686592
5	9	865	276	2242	59.405628
6	0	146	305		-1.0
6	1	146	305	The	88.532219
6	2	209	305	Paradise	95.690262
6	3	320	305	of	96.965012
6	4	357	305	Bachelors	96.204391
6	5	485	306	and	96.029327
6	6	543	305	the	93.27375
6	7	591	305	Tartarus	91.011665
6	8	708	305	of	96.48941
6	9	744	306	Maids	81.642807
6	10	867	312	2252	56.03767
7	0	147	339		-1.0
7	1	147	339	Benito	93.197861
7	2	238	340	Cereno	91.06601
7	3	376	345	2272	40.211166
8	0	144	374		-1.0
8	1	144	375	The	96.419388
8	2	207	374	Piazza	63.847721
8	3	310	370	=	49.056358
8	4	333	376	2338	55.066643
9	0	146	434		-1.0
9	1	146	435	BATTLE-PIECES	60.868744
9	2	375	434	2350	65.12825
10	0	144	479		-1.0
10	1	144	479	The	90.957581
10	2	206	479	Portent	90.48912
10	3	345	485	2350	73.638153
11	0	144	513		-1.0
11	1	144	513	Misgivings	92.824905
11	2	325	518	2350	86.157501
12	0	144	549		-1.0
12	1	144	549	The	92.325813
12	2	206	549	March	95.983856
12	3	298	550	into	96.176575
12	4	358	549	Virginia	49.208572
12	5	501	555	2352	49.208572
13	0	144	583		-1.0
13	1	140	579	A	92.753777
13	2	173	583	Utilitarian	88.109566
13	3	315	584	View	96.938911
13	4	389	584	of	96.924469
13	5	425	584	the	96.922737
13	6	475	585	Monitor's	58.450314
13	7	609	585	Fight	51.706123
13	8	716	591	2352	45.07135
14	0	143	619		-1.0
14	1	143	619	The	93.291176
14	2	206	619	House-top	89.738747
14	3	373	624	2353	43.107471
15	0	145	680		-1.0
15	1	145	680	JOHN	96.55761
15	2	221	681	MARR	93.109528
15	3	300	681	AND	93.109528
15	4	356	681	OTHER	96.333061
15	5	449	681	SAILORS	66.768906
15	6	564	668	—	44.423195
15	7	586	681	2354	44.423195
16	0	142	722		-1.0
16	1	142	722	The	96.237679
16	2	203	722	Maldive	96.835869
16	3	315	722	Shark	75.590164
16	4	427	731	2354	67.567413
17	0	141	758		-1.0
17	1	141	758	ToNed	85.488152
17	2	283	764	2354	96.19677
18	0	141	817		-1.0
18	1	141	819	TIMOLEON,	91.121834
18	2	291	819	ETC.	67.493095
18	3	385	817	2355	81.011871
19	0	142	862		-1.0
19	1	142	862	After	95.882668
19	2	217	862	the	96.868896
19	3	266	862	Pleasure	95.85791
19	4	380	864	Party	69.478195
19	5	481	869	2355	69.478195
20	0	141	897		-1.0
20	1	141	897	Monody	90.862045
20	2	289	903	2359	94.737076
21	0	141	931		-1.0
21	1	141	931	The	95.189575
21	2	203	932	Bench	96.381401
21	3	290	932	of	93.268814
21	4	326	933	Boors	92.470169
21	5	438	934	2360	73.061844
22	0	140	966		-1.0
22	1	140	966	The	96.504456
22	2	202	967	Enthusiast	87.144005
22	3	385	968	2360	60.76545
23	0	140	1001		-1.0
23	1	140	1002	Art	57.460487
23	2	222	1001	3361	57.460487
23	3	1102	990	,	0.0
24	0	1105	1045		-1.0
24	1	1105	1045	:	14.688705
25	0	142	1071		-1.0
25	1	142	1071	Billy	96.369812
25	2	209	1072	Budd,	96.369812
25	3	292	1073	Sailor	75.896439
25	4	410	1074	236	57.440063
26	0	109	1141		-1.0
26	1	109	1141	ELIZABETH	92.810928
26	2	296	1143	DREW	96.233986
26	3	407	1144	STODDARD	96.684761
26	4	596	1146	(1823-1902)	76.69223
26	5	917	1152	2427	93.480194
27	0	139	1176		-1.0
27	1	139	1176	Lemome	91.891258
27	2	260	1185	versus	92.920807
27	3	347	1178	Hucll	36.461716
27	4	445	1172	—	53.643017
27	5	466	1184	2430	89.439598
28	0	108	1246		-1.0
28	1	108	1246	EMILY	96.706543
28	2	219	1247	DICKINSON	95.868431
28	3	411	1249	(1830-1886)	63.79565
28	4	919	1257	2445	87.520088
29	0	170	1283		-1.0
29	1	170	1292	49	94.937881
29	2	218	1283	I	59.033577
29	3	238	1291	never	74.281075
29	4	313	1283	lost	92.616821
29	5	367	1292	as	92.616821
29	6	401	1284	much	96.149689
29	7	480	1284	but	96.207466
29	8	534	1286	twice	82.816216
29	9	619	1279	—	60.044201
29	10	643	1287	2448	82.105225
30	0	168	1317		-1.0
30	1	168	1317	67	95.838463
30	2	215	1317	Success	91.50634
30	3	318	1326	is	95.02494
30	4	344	1319	counted	95.02494
30	5	456	1323	sweetest	74.463715
30	6	603	1320	2448	72.673378
31	0	156	1352		-1.0
31	1	156	1359	125	77.923927
31	2	217	1352	For	78.340546
31	3	267	1353	cach	87.084946
31	4	334	1356	cestatic	87.12925
31	5	438	1355	instant	62.329163
31	6	564	1354	2448	74.670311
32	0	156	1386		-1.0
32	1	156	1394	130	94.67617
32	2	215	1386	These	91.847366
32	3	299	1395	are	96.580544
32	4	347	1387	the	96.887794
32	5	396	1388	days	96.497986
32	6	460	1389	when	96.948875
32	7	538	1389	Birds	96.635933
32	8	610	1398	come	92.993057
32	9	688	1389	back—	65.301041
32	10	820	1389	2448	15.34964
33	0	156	1422		-1.0
33	1	156	1422	185	71.490707
33	2	215	1422	“Faith”	92.668777
33	3	323	1424	isa	93.549225
33	4	373	1424	fine	93.549225
33	5	428	1425	invention	88.301949
33	6	589	1431	2449	56.706894
34	0	155	1455		-1.0
34	1	155	1458	187	94.880821
34	2	216	1455	How	95.954353
34	3	285	1465	many	96.556709
34	4	365	1458	times	96.038124
34	5	441	1458	these	64.289703
34	6	515	1458	low	96.6157
34	7	567	1458	feet	93.002876
34	8	622	1460	staggered—	75.850739
34	9	814	1466	2449	55.062759
35	0	154	1491		-1.0
35	1	154	1499	214	92.982666
35	2	216	1491	I	82.024193
35	3	235	1496	taste	94.376732
35	4	302	1501	a	94.376732
35	5	325	1492	liquor	94.913002
35	6	409	1502	never	93.301323
35	7	485	1494	brewed—	91.530334
35	8	643	1500	2450	55.649471
36	0	153	1525		-1.0
36	1	153	1527	226	82.708412
36	2	213	1525	Safe	96.769257
36	3	276	1527	in	96.821671
36	4	311	1527	their	94.155792
36	5	379	1527	Alabaster	91.214172
36	6	505	1528	Chambers—	90.925476
37	0	261	1560		-1.0
37	1	261	1560	(Two	83.549957
37	2	338	1562	Versions}	77.449944
37	3	493	1567	2450	77.199699
38	0	153	1596		-1.0
38	1	153	1602	241	96.160599
38	2	215	1596	I	84.688583
38	3	234	1596	like	85.585541
38	4	286	1604	a	85.124191
38	5	310	1596	look	85.124191
38	6	371	1597	of	95.979736
38	7	405	1598	Agony	86.527283
38	8	511	1592	=	35.660416
38	9	531	1602	2452	59.868961
39	0	152	1631		-1.0
39	1	152	1638	249	90.496162
39	2	213	1631	Wild	93.290154
39	3	290	1632	Nights—Wild	82.325096
39	4	484	1633	Nights!	74.331116
39	5	628	1637	2452	75.770287
40	0	153	1666		-1.0
40	1	153	1666	258	93.990723
40	2	212	1666	There's	5.847076
40	3	315	1675	a	89.722229
40	4	336	1670	certain	93.353905
40	5	433	1668	Slant	96.483925
40	6	507	1668	of	95.721802
40	7	543	1668	light	78.236053
40	8	650	1672	2458	51.473732
41	0	150	1700		-1.0
41	1	150	1700	280	57.918854
41	2	213	1700	I	85.74292
41	3	232	1700	felt	82.812622
41	4	289	1709	a	82.812622
41	5	306	1701	Funeral,	67.573334
41	6	420	1703	in	87.849892
41	7	455	1710	my	94.982246
41	8	502	1702	Brain	62.541805
41	9	626	1709	2452	47.799091
