line_num	word_num	left	top	text	conf
0	0	0	0		-1.0
0	0	180	96		-1.0
0	0	180	96		-1.0
1	0	180	96		-1.0
1	1	180	102	x	86.745224
1	2	214	96	/	76.791534
1	3	245	96	CONTENTS	94.951706
2	0	208	168		-1.0
2	1	208	168	The	96.264023
2	2	266	168	Rest	95.602051
2	3	386	170	1481	90.785477
3	0	211	201		-1.0
3	1	211	201	In	89.805267
3	2	243	210	a	89.805267
3	3	265	201	Station	96.21862
3	4	360	201	of	96.971619
3	5	393	201	the	95.848267
3	6	441	201	Metro	95.799774
3	7	584	203	1482	94.44722
4	0	208	233		-1.0
4	1	208	234	The	92.815895
4	2	266	234	River-Merchant’s	69.173584
4	3	483	233	Wife:	96.773666
4	4	554	236	A	96.426865
4	5	582	235	Letter	96.426865
4	6	724	236	1482	96.150475
5	0	209	267		-1.0
5	1	209	267	Villanelle:	89.196556
5	2	339	267	The	96.739456
5	3	396	267	Psychological	95.929001
5	4	570	267	Hour	95.929001
5	5	701	269	1483	96.252853
6	0	210	300		-1.0
6	1	210	300	Hugh	92.052406
6	2	287	300	Sehvyn	77.314209
6	3	383	300	Mauberley	91.214828
6	4	521	300	(Life	96.205658
6	5	587	300	and	96.107132
6	6	639	301	Contacts}	68.048294
6	7	827	302	1484	95.454079
7	0	208	333		-1.0
7	1	208	333	The	96.329865
7	2	264	334	Cantos	96.730209
7	3	419	335	1492	96.667084
8	0	239	366		-1.0
8	1	239	366	1	60.846924
8	2	257	366	(And	40.123642
8	3	335	366	then	95.820396
8	4	398	372	went	96.208641
8	5	464	366	down	96.783005
8	6	539	372	to	95.971016
8	7	571	366	the	95.971016
8	8	618	366	"ship"")"	86.954468
8	9	758	368	1492	96.592484
9	0	237	399		-1.0
9	1	237	399	XVII	48.907455
9	2	302	399	"(""So"	48.907455
9	3	362	399	that	95.169464
9	4	419	399	the	96.820038
9	5	466	401	vines	96.895164
9	6	536	399	burst	96.700829
9	7	607	399	from	96.564308
9	8	674	407	my	96.164551
9	9	717	399	fingers”)	37.512703
9	10	887	401	1494	96.227158
10	0	237	432		-1.0
10	1	237	432	XLV	93.796021
10	2	296	432	"(""With"	80.296684
10	3	386	432	Usura”)	40.820881
10	4	547	434	1497	95.47039
11	0	501	506		-1.0
11	1	501	507	MODERNIST	91.46666
11	2	657	507	MANIFESTOS	91.46666
11	3	1076	506	1499	95.950684
12	0	210	570		-1.0
12	1	210	570	F.	57.237705
12	2	238	570	T.	57.237705
12	3	272	570	MARINETTI:	89.761658
12	4	449	570	From	94.883209
12	5	521	570	Manifesto	94.883209
12	6	651	570	of	96.961617
12	7	686	570	Futurism	96.150078
12	8	1076	572	1500	95.850822
13	0	210	636		-1.0
13	1	210	636	MINA	94.782959
13	2	297	636	LOY:	94.782959
13	3	369	636	Feminist	95.954041
13	4	483	636	Manifesto	96.422501
13	5	1076	638	1502	96.101471
14	0	210	702		-1.0
14	1	210	702	EZRA	96.208603
14	2	291	702	POUND:	96.396126
14	3	413	702	From	96.001511
14	4	482	703	A	95.770538
14	5	510	702	Retrospect	96.053925
14	6	1076	704	1505	96.111656
15	0	209	768		-1.0
15	1	209	768	WILLA	92.040314
15	2	309	768	CATHER:	90.603706
15	3	442	768	From	94.158585
15	4	513	768	The	96.437439
15	5	570	768	Novel	93.282036
15	6	650	768	Démeublé	90.992935
15	7	1076	770	1508	95.96946
16	0	209	834		-1.0
16	1	209	834	WILLIAM	96.629501
16	2	347	834	CARLOS:	96.752258
16	3	479	834	Williams:	96.250946
16	4	603	834	From	96.448181
16	5	675	834	Spring	95.555443
16	6	763	843	and	94.964668
16	7	812	834	All	73.162003
16	8	1076	836	1510	94.824539
17	0	210	900		-1.0
17	1	210	900	LANGSTON	95.892075
17	2	380	900	HUGHES:	96.282227
17	3	521	900	From	96.577812
17	4	591	900	The	95.814529
17	5	648	900	Negro	96.639465
17	6	728	901	Artist	96.838257
17	7	803	900	and	96.430206
17	8	856	900	the	96.62635
17	9	905	900	Racial	96.62635
18	0	296	929		-1.0
18	1	296	929	Mountain	96.326378
18	2	1076	935	1511	86.509552
19	0	182	1032		-1.0
19	1	182	1032	H.	78.475525
19	2	221	1032	D.	78.475525
19	3	257	1032	(HILDA	91.159225
19	4	368	1032	DOOLITTLE)	91.055405
19	5	552	1034	(1886-1961)	76.923523
19	6	1076	1034	1514	96.628197
20	0	210	1065		-1.0
20	1	210	1065	Mid-day	91.08313
20	2	379	1067	1515	94.674431
21	0	205	1094		-1.0
21	1	205	1094	Oread	92.030876
21	2	353	1100	1516	95.88266
22	0	210	1127		-1.0
22	1	210	1127	Leda	96.079666
22	2	338	1133	1516	95.716438
23	0	210	1164		-1.0
23	1	210	1164	Fragment	94.687698
23	2	338	1166	113	95.916313
