line_num	word_num	left	top	conf	text
0	0	0	0	-1.0	
0	0	120	64	-1.0	
0	0	120	64	-1.0	
1	0	120	64	-1.0	
1	1	120	68	81.539902	x
1	2	143	64	66.689453	/
1	3	163	64	26.953712	ConTEents
2	0	120	112	-1.0	
2	1	120	112	96.763252	ANNE
2	2	181	112	96.578575	BRADSTREET
2	3	312	114	93.917969	(ca.
2	4	350	113	74.357903	1612-1672)
2	5	728	113	93.841286	187
3	0	139	134	-1.0	
3	1	139	134	96.366791	The
3	2	177	134	73.844772	Prologue
3	3	295	135	29.717087	«188
4	0	140	156	-1.0	
4	1	140	156	96.949211	In
4	2	163	156	95.261047	Honor
4	3	220	156	93.724335	of
4	4	242	156	93.724335	that
4	5	280	156	96.685921	High
4	6	326	156	96.342407	and
4	7	362	156	96.404274	Mighty
4	8	425	156	95.991867	Princess
4	9	498	156	94.519859	Queen
4	10	559	156	92.382126	Elizabeth
4	11	640	156	96.813477	of
5	0	197	178	-1.0	
5	1	197	178	96.682365	Happy
5	2	256	178	83.314148	Memory
5	3	369	179	51.873581	189
6	0	139	200	-1.0	
6	1	139	200	94.33136	To
6	2	165	200	96.39151	the
6	3	197	200	96.39151	Memory
6	4	269	200	96.938454	of
6	5	292	200	97.01046	My
6	6	323	200	96.477982	Dear
6	7	368	200	96.477982	and
6	8	404	200	96.332825	Ever
6	9	446	200	96.332825	Honored
6	10	524	200	96.023911	Father
6	11	580	200	96.649925	Thomas
7	0	197	222	-1.0	
7	1	197	222	92.94458	Dudley
7	2	261	222	82.701294	Esq.
7	3	341	224	60.494652	193
8	0	139	244	-1.0	
8	1	139	244	93.04422	To
8	2	165	244	96.739288	Her
8	3	202	244	96.666046	Father
8	4	259	244	96.739952	with
8	5	301	244	96.512962	Some
8	6	351	244	95.407188	Verses
8	7	448	245	94.580368	195
9	0	140	262	-1.0	
9	1	140	262	32.819801	Contemplations
9	2	315	267	95.777313	195
10	0	139	288	-1.0	
10	1	139	288	96.799706	The
10	2	177	288	87.979126	Flesh
10	3	226	288	96.321426	and
10	4	262	288	96.789604	the
10	5	293	288	96.875923	Spirit
10	6	381	289	96.433197	202
11	0	139	310	-1.0	
11	1	139	310	96.89196	The
11	2	175	310	96.965118	Author
11	3	238	314	96.714813	to
11	4	260	310	96.746765	Her
11	5	296	310	96.760658	Book
11	6	380	311	96.06205	204
12	0	140	332	-1.0	
12	1	140	332	96.916054	Before
12	2	199	332	95.850922	the
12	3	231	332	96.792427	Birth
12	4	277	332	96.792427	of
12	5	298	332	96.615746	One
12	6	338	332	96.851303	of
12	7	361	332	96.815125	Her
12	8	396	332	96.280785	Children
12	9	512	333	96.125099	205
13	0	139	354	-1.0	
13	1	139	354	73.735237	To
13	2	166	354	96.110977	My
13	3	197	354	95.197334	Dear
13	4	242	354	95.197334	and
13	5	277	354	95.918526	Loving
13	6	338	354	88.40213	Husband
13	7	454	355	43.172794	206
