line_num	word_num	left	top	text	conf
0	0	0	0		-1.0
0	0	91	28		-1.0
0	0	91	28		-1.0
1	0	1213	28		-1.0
1	1	1213	28	|	86.244469
2	0	91	182		-1.0
2	1	91	182	La	12.386276
2	2	921	182	eT	24.245628
3	0	467	258		-1.0
3	1	467	258	Contents	96.912201
3	2	1041	266	|	87.305603
4	0	100	321		-1.0
4	1	100	322	{	92.351578
4	2	1042	321	|	41.500317
5	0	1042	333		-1.0
5	1	1042	333	|	62.125336
6	0	106	589		-1.0
6	1	106	590	Volume	96.163742
6	2	236	590	2:	96.268761
6	3	276	590	Realism.	78.621788
6	4	418	590	Naturalism,	96.037865
6	5	612	590	Modernism	95.568481
6	6	804	595	to	95.568481
6	7	853	589	the	96.774254
6	8	919	590	Present	95.823349
7	0	98	663		-1.0
7	1	98	663	PREFACE	81.796761
7	2	221	664	xx)	53.064861
8	0	96	708		-1.0
8	1	96	708	ACKNOWLEDGMENTS	86.480133
8	2	369	708	xxix	76.99054
9	0	98	753		-1.0
9	1	98	753	INTRODUCTION:	57.996582
9	2	297	753	TALKING	96.166611
9	3	414	753	BOOKS	92.084549
9	4	512	753	axsiii	11.118698
10	0	312	864		-1.0
10	1	312	864	The	96.571671
10	2	385	864	Vernacular	96.156548
10	3	570	864	Tradition,	96.156548
10	4	738	866	Part	96.717651
10	5	817	865	2	96.78347
11	0	99	936		-1.0
11	1	99	936	INTRODUCTION	93.074104
11	2	304	936	4%	75.616211
12	0	98	998		-1.0
12	1	98	998	GosPeEt	52.088909
12	2	1031	1011	n	50.414314
13	0	133	1045		-1.0
13	1	133	1046	This	96.801384
13	2	197	1046	Little	90.580757
13	3	269	1046	Light	96.212837
13	4	341	1041	of	96.783775
13	5	378	1041	Mine	82.374603
13	6	439	1050	¢	61.306629
13	7	471	1050	13	91.049652
14	0	137	1082		-1.0
14	1	137	1083	Down	95.762497
14	2	214	1082	by	96.251083
14	3	248	1082	the	96.436615
14	4	294	1082	Riverside	95.14196
14	5	410	1087	©	63.729416
14	6	441	1085	13	69.365524
15	0	137	1118		-1.0
15	1	137	1118	Freedom	96.2463
15	2	248	1121	in	93.370956
15	3	278	1118	the	93.370956
15	4	323	1119	Air	56.850128
15	5	368	1123	®	55.669655
15	6	400	1121	15	91.266953
16	0	134	1154		-1.0
16	1	134	1154	Tahe	53.288681
16	2	201	1155	My	96.355118
16	3	246	1154	Hand,	96.317215
16	4	327	1154	Precious	88.445351
16	5	437	1154	Lond	35.639603
16	6	500	1159	©	29.681923
16	7	532	1157	15	82.151588
17	0	138	1190		-1.0
17	1	138	1191	Peace	95.863243
17	2	214	1191	Be	93.221123
17	3	251	1190	Scill	57.569511
17	4	319	1194	16	95.518265
17	5	901	1219	;	10.275513
18	0	137	1226		-1.0
18	1	137	1226	Stand	95.798134
18	2	214	1226	by	95.703117
18	3	248	1227	Me	28.533043
18	4	294	1231	®	28.533043
18	5	326	1230	16	72.798317
19	0	102	1287		-1.0
19	1	102	1288	SonGs	76.505524
19	2	211	1295	oF	93.28978
19	3	261	1288	Sociat	69.433853
19	4	383	1287	CHANGE	95.94706
