line_num	word_num	left	top	text	conf
0	0	0	0		-1.0
0	0	46	159		-1.0
0	0	1938	159		-1.0
1	0	1938	159		-1.0
1	1	1938	159	Black	96.565689
1	2	2404	161	Insights	96.498444
0	0	50	368		-1.0
1	0	50	368		-1.0
1	1	50	438	|	64.694382
1	2	1689	368	Significant	77.631622
1	3	2184	370	Literature	95.601746
1	4	2636	372	by	96.522552
1	5	2792	372	Black	96.65004
0	0	1686	459		-1.0
1	0	1686	459		-1.0
1	1	1686	459	Americans—1/60	86.290573
1	2	2444	472	to	96.28064
1	3	2547	462	the	96.28064
1	4	2704	463	Present	96.696266
0	0	45	605		-1.0
1	0	2267	642		-1.0
1	1	2267	657	wonoan	79.296509
1	2	2389	658	stare	77.537064
1	3	2475	659	couse	33.867355
1	4	2623	642	Niek	75.721649
1	5	2745	643	Aaron	96.8433
1	6	2894	643	Ford	96.8433
2	0	46	756		-1.0
2	1	46	756	|	61.27179
0	0	0	0		-1.0
0	0	36	27		-1.0
0	0	36	27		-1.0
1	0	36	27		-1.0
1	1	36	27	|	59.551498
2	0	194	374		-1.0
2	1	194	374	To	96.596924
3	0	194	408		-1.0
3	1	194	410	My	96.946663
3	2	245	409	wife,	96.724182
3	3	320	408	Ola,	96.972382
3	4	381	409	who	96.939568
3	5	450	410	has	96.894875
3	6	503	409	helped	96.847466
3	7	602	416	me	96.973907
4	0	194	447		-1.0
4	1	194	447	in	96.330025
4	2	227	453	more	96.776299
4	3	302	453	ways	96.247231
4	4	380	447	than	96.247231
4	5	451	447	|	94.645599
4	6	468	453	can	95.882362
4	7	525	451	enumerate	96.183136
5	0	808	601		-1.0
5	1	808	601	PE	96.266701
6	0	829	683		-1.0
6	1	808	683	119	64.296738
6	2	889	683	9	64.120392
7	0	804	752		-1.0
7	1	804	752	5%	0.0
8	0	1640	781		-1.0
8	1	1640	781	Acknowledgments	96.146774
9	0	1644	929		-1.0
9	1	1644	930	Jowes	32.378151
9	2	1713	929	Baldwin,	90.625259
9	3	1812	930	~Gabriot's	27.570328
9	4	1928	932	Prayer,”	88.309547
9	5	2018	934	reprinted	96.031029
9	6	2123	933	from	93.583755
9	7	2181	933	Go	96.268997
9	8	2224	934	Tell	66.419647
9	9	2267	936	it	63.531029
9	10	2351	936	Frank	69.497475
9	11	2419	937	Marshall	94.443474
9	12	2517	938	Davis,	32.33532
9	13	2590	940	#1	22.688187
9	14	2625	944	poems	94.182549
9	15	2702	942	copyright	95.793945
9	16	2811	942	by	96.739594
9	17	2847	941	Frank	96.186737
9	18	2913	942	Marshall	46.82362
10	0	1663	957		-1.0
10	1	1663	963	on	54.292736
10	2	1698	953	be	90.314697
10	3	1728	957	Mountain	63.579224
10	4	1836	953	by	90.466675
10	5	1869	953	James	93.305191
10	6	1938	953	Baidwin,	64.514496
10	7	2040	953	Copyright	94.348991
10	8	2145	953	©)	77.899551
10	9	2169	953	1953,	93.467567
10	10	2235	953	1952	96.01194
10	11	2373	963	Oavis.	87.262978
10	12	2454	959	Used	96.449211
10	13	2510	959	by	96.774246
10	14	2541	965	permission	96.390617
10	15	2655	959	of	96.390617
10	16	2686	959	the	96.865898
10	17	2726	968	author.	79.679794
11	0	1663	980		-1.0
11	1	1663	987	ty	50.64225
11	2	1695	980	Jernes	18.74958
11	3	1766	980	Baldwin	41.404701
11	4	1860	980	and	95.654594
11	5	1905	980	used	96.759621
11	6	1962	980	by	96.965866
11	7	1996	980	permission	93.505013
11	8	2112	980	of	96.837059
11	9	2143	980	the	96.917366
11	10	2186	980	publisher.	45.221413
11	11	2490	1005	ow	49.450035
11	12	2805	1008	.	0.0
12	0	1667	994		-1.0
12	1	1667	1014	the	89.56424
12	2	1706	994	Dia!	63.069592
12	3	1819	1014	Ine.	87.654182
12	4	1874	995	"""The"	79.298065
12	5	1932	1014	Di	77.978897
12	6	2035	997	of	85.754745
12	7	2072	997	What	96.582779
12	8	2127	997	It	51.71756
12	9	2224	998	to	95.422684
12	10	2259	998	Be	92.398407
12	11	2348	1000	Harry	43.530499
12	12	2415	1000	Dolen,	34.206131
12	13	2500	1000	Can	93.088211
12	14	2551	1000	on	89.62841
12	15	2587	1000	Angry	95.121071
12	16	2655	1000	Black	96.050606
12	17	2723	1007	Man	96.379417
12	18	2774	1000	Write	55.348438
12	19	2837	1000	of	96.703484
12	20	2868	1000	Laughter	86.87635
12	21	2967	1000	and	95.115273
13	0	1753	1007		-1.0
13	1	1753	1007	Press,	92.703323
13	2	1951	1014	jscovery	35.587326
13	3	2148	1012	Means	68.532303
13	4	2374	1031	"Love?"""	74.428818
13	5	2457	1027	by	96.268265
13	6	2489	1027	Harry	95.84803
