Work,Author,Page Number
Beginnings to,ACKNOWLEDGMENTS xXY,1700
Introduction,ACKNOWLEDGMENTS xXY,1
Timeline,ACKNOWLEDGMENTS xXY,15
STORIES OF THE BEGINNING OF THE WORLD,ACKNOWLEDGMENTS xXY,17
The Iroquois Creation Story (version by David Cusick),ACKNOWLEDGMENTS xXY,17
(versions by Thin Leather and J. W. Lloyd),ACKNOWLEDGMENTS xXY,21
The Story of the Creation,ACKNOWLEDGMENTS xXY,22
The Story of the Flood,ACKNOWLEDGMENTS xXY,24
CHRISTOPHER COLUMBUS (1451-1506),ACKNOWLEDGMENTS xXY,31
"(February 15, 1493)",ACKNOWLEDGMENTS xXY,32
"(July 7, 1503)",ACKNOWLEDGMENTS xXY,33
BARTOLOME DE LAS CASAS (1474-1566),ACKNOWLEDGMENTS xXY,35
The Very Brief Relation of the Devastation of the Indies,ACKNOWLEDGMENTS xXY,36
From Hispaniola,ACKNOWLEDGMENTS xXY,36
"From The Coast of Pearls, Paria, and the Island of Trinidad",ACKNOWLEDGMENTS xXY,38
ALVAR NUNEZ CABEZA DE VACA (ca. 1490-1558),ACKNOWLEDGMENTS xXY,40
The Relation of Alvar Naiiez Cabeza de Vaca,ACKNOWLEDGMENTS xXY,41
[Dedication],ACKNOWLEDGMENTS xXY,41
[The Malhado Way of Life],ACKNOWLEDGMENTS xXY,42
[Our Life among the Avavares and Arbadaos},ACKNOWLEDGMENTS xXY,44
[Pushing On],ACKNOWLEDGMENTS xXY,45
[Customs of That Region},ACKNOWLEDGMENTS xXY,45
[The First Confrontation],ACKNOWLEDGMENTS xXY,46
[The Falling-Out with Our Countrymen|,ACKNOWLEDGMENTS xXY,47
THOMAS HARRIOT (1560-1621),vii,48
A Brief and True Report of the New Found Land of Virginia,vii,49
From Of the Nature and Manners of the People,vii,49
JOHN SMITH (1580-1631),vii,35
Isles,vii,57
Supply,vii,57
The Fourth Book [Smith’s Farewell to Virginia],vii,66
A Description of New England,vii,66
From New England's Trials,vii,69
NATIVE AMERICAN TRICKSTER TALES,vii,72
WINNEBAGO,vii,74
translated by Kathleen Danker and Felix White},vii,75
From The Winnebago Trickster Cycle (edited by Paul Radin),vii,78
SIOUX,vii,83
KOASATI,vii,86
Geoffrey Kimball),vii,87
CLATSOP CHINOOK,vii,91
William Bright),vii,92
NAVAJO,vii,98
Yellowman; recorded and translated by Barre Toelken),vii,98
WILLIAM BRADFORD (1590-1657),vii,104
OF Plymouth Plantation,vii,105
Book I,vii,105
From Chapter t [The English Reformation],vii,105
Removal,vii,107
From Chapter VU. Of Their Departure from Leyden,vii,109
and of Their Safe Arrival at Cape Cad,vii,14
and What Befell Them Thereabout,vii,116
Book Il,vii,120
Chapter XI. The Remainder of Anno 1620,vii,120
[Difficult Beginnings],vii,121
[Dealings with the Natives],vii,123
Chapter XII. Anno 1621 [The First Thanksgiving],vii,126
Chapter XIX. Anno 1628 [Mr. Morton of Merrymount],vii,126
Community],vii,129
Chapter XXV. Anno 1634 [Troubles to the West],vii,130
Chapter XXVHI. Anno 1636 [War Threats],vii,132
Chapter XXVIL Anno 1637 [War with the Pequots],vii,133
